id,age_asl,piat,wj_reading_fluency,kbit,asl_srt,fingerspelling
24,0,86,96,37,12,60
26,1,96,112,43,13,63
38,9,82,77,37,4,52
64,13,55,58,34,6,52
67,2,89,97,40,12,64
75,3,65,47,43,10,53
92,7,67,54,35,10,48
102,1,94,117,38,17,62
108,12,63,75,35,6,56
116,20,44,37,40,6,42
150,17,65,91,33,6,60
171,1,78,61,37,8,42
191,11,62,51,31,5,29
214,5,76,81,37,11,37
216,15,81,59,42,11,53
224,14,73,76,38,10,54
244,10,87,65,41,4,44
265,17,61,46,39,8,49
279,16,74,94,44,17,54
290,1,87,97,36,8,58
315,16,79,65,34,5,48
320,0,85,87,37,16,64
321,4,45,30,40,3,51
324,1,81,81,42,12,64
325,19,85,57,35,5,56
349,9,73,42,33,7,38
358,7,56,60,40,1,48
374,18,49,60,34,1,37
387,10,68,93,39,14,60
395,16,63,39,39,12,40
397,4,75,66,41,11,50
