country,1995,2005,2010,2014,2015,2016
Albania,NA,NA,2191,3341,3784,4070
Algeria,520,1443,2070,2301,1710,2039
American Samoa,34,25,23,22,20,20
Andorra,NA,2418,1808,2363,2663,2831
Angola,9,210,425,595,592,397
Anguilla,39,62,62,71,73,79
Antigua and Barbuda,220,245,230,249,250,265
Argentina,2289,3823,5325,5931,5736,5559
Armenia,12,319,684,1204,1192,1260
Aruba,619,733,824,1072,1225,1102
Australia,3726,5499,5790,6884,7444,8263
Austria,17173,19952,22004,25291,26728,28121
Azerbaijan,NA,693,1280,2160,1922,2044
Bahamas,1598,1608,1370,1427,1484,1482
Bahrain,2311,6313,11952,10452,9670,10158
Bangladesh,156,208,303,125,NA,NA
Barbados,442,548,532,521,592,632
Belarus,161,91,119,5375,4386,9424
Belgium,5560,6747,7186,7887,8355,7481
Belize,131,237,242,321,341,386
Benin,138,176,199,242,255,267
Bermuda,387,270,232,224,220,244
Bhutan,5,14,41,133,155,210
Bolivia (Plurin. State of),284,524,679,871,882,959
Bonaire,59,63,71,NA,NA,NA
Bosnia and Herzegovina,NA,217,365,536,678,777
Botswana,521,1474,1973,1966,1528,NA
Brazil,1991,5358,5161,6430,6306,6578
British Virgin Islands,219,337,330,386,393,408
Brunei Darussalam,NA,126,214,201,218,219
Bulgaria,3466,4837,6047,7311,7099,8252
Burkina Faso,124,245,274,191,163,152
Burundi,34,148,142,235,131,187
Cabo Verde,28,198,336,494,520,598
Cambodia,220,1422,2508,4503,4775,5012
Cameroon,NA,NA,573,822,NA,NA
Canada,16932,18771,16219,16537,17971,19824
Cayman Islands,361,168,288,383,385,385
Central African Republic,26,12,54,96,121,NA
Chad,NA,NA,71,122,120,NA
Chile,1540,2027,2801,3674,4478,5641
China,20034,46809,55664,55622,56886,59270
"China, Hong Kong SAR",NA,14773,20085,27770,26686,26553
"China, Macao SAR",4202,9014,11926,14566,14308,15704
Colombia,1399,933,1405,2552,2978,3317
Comoros,23,26,15,23,24,27
Congo,NA,35,194,226,220,211
Cook Islands,48,88,104,121,125,146
Costa Rica,785,1679,2100,2527,2660,2925
Croatia,1485,7743,9111,11623,12683,13809
Cuba,742,2261,2507,2970,3491,3968
Curaçao,224,222,342,452,468,441
Cyprus,2100,2470,2173,2441,2659,3187
Czechia,NA,9404,8629,10649,11619,12090
Côte d’Ivoire,NA,NA,252,471,1441,1583
Dem. Rep. of the Congo,35,61,81,NA,NA,NA
Denmark,NA,9587,9425,10267,10424,10781
Djibouti,21,30,51,NA,NA,NA
Dominica,60,79,77,82,75,78
Dominican Republic,1776,3691,4125,5141,5600,5959
Ecuador,440,860,1047,1557,1544,1418
Egypt,2871,8244,14051,9628,9139,5258
El Salvador,235,1127,1150,1345,1402,1434
Eritrea,315,83,84,119,114,142
Estonia,530,1917,2372,2918,2989,3147
Eswatini,300,837,868,939,873,947
Ethiopia,103,227,468,770,864,871
Fiji,318,545,632,693,755,792
Finland,1779,2080,2319,2731,2622,2789
France,60033,74988,76647,83701,84452,82570
French Guiana,NA,95,189,185,199,NA
French Polynesia,172,208,154,181,184,192
Gabon,125,269,NA,NA,NA,NA
Gambia,45,108,91,156,135,161
Georgia,NA,NA,1067,2229,2282,2721
Germany,14847,21500,26875,32999,34970,35555
Ghana,286,429,931,825,897,NA
Greece,10130,14765,15007,22033,23599,24799
Grenada,108,99,110,150,155,156
Guadeloupe,640,372,392,486,512,581
Guam,1362,1228,1197,1343,1409,1535
Guatemala,NA,NA,1119,1371,1473,1585
Guinea,NA,45,12,33,35,NA
Guinea-Bissau,NA,5,22,36,44,NA
Guyana,106,117,152,206,207,235
Haiti,145,112,255,465,516,NA
Honduras,271,673,863,868,880,NA
Hungary,NA,9979,9510,12140,14316,15255
Iceland,190,374,489,998,1289,1792
India,2124,3919,5776,13107,13284,14569
Indonesia,4324,5002,7003,9435,10407,11519
Iran (Islamic Republic of),568,NA,2938,4967,5237,4942
Iraq,61,NA,1518,NA,NA,NA
Ireland,4818,7333,7134,8813,9528,10100
Israel,2215,1903,2803,2927,2799,2900
Italy,31052,36513,43626,48576,50732,52372
Jamaica,1147,1479,1922,2080,2123,2182
Japan,3345,6728,8611,13413,19737,24040
Jordan,1075,2987,4207,3990,3761,3858
Kazakhstan,NA,3143,2991,4560,NA,NA
Kenya,918,1399,1470,1261,1114,1268
Kiribati,4,4,5,5,4,6
Kuwait,1443,3474,5208,6528,6941,7055
Kyrgyzstan,NA,NA,855,2849,3051,2930
Lao People's Dem. Rep.,60,672,1670,3164,3543,3315
Latvia,539,1116,1373,1843,2024,1793
Lebanon,450,1140,2168,1355,1518,1688
Lesotho,209,304,426,1079,1082,1196
Libya,NA,81,NA,NA,NA,NA
Liechtenstein,NA,NA,64,61,57,69
Lithuania,650,2000,1507,2063,2071,2296
Luxembourg,768,913,805,1038,1090,1054
Madagascar,75,277,196,222,244,293
Malawi,192,438,746,819,805,849
Malaysia,7469,16431,24577,27437,25721,26757
Maldives,315,395,792,1205,1234,1286
Mali,NA,NA,169,168,159,173
Malta,1116,1171,1339,1690,1783,1966
Marshall Islands,6,9,5,5,6,10
Martinique,457,484,478,490,487,519
Mauritius,422,761,935,1038,1151,1275
Mexico,20241,21915,23290,29346,32093,35079
Micronesia (Fed. States of),NA,19,45,35,31,30
Monaco,233,286,279,329,331,336
Mongolia,108,338,456,393,386,404
Montenegro,NA,272,1088,1350,1560,1662
Montserrat,18,10,6,9,9,9
Morocco,2602,5843,9288,10283,10177,10332
Mozambique,NA,578,1718,1661,1552,1639
Myanmar,194,660,792,3081,4681,2907
Namibia,272,778,984,1320,1388,1469
Nepal,363,375,603,790,539,753
Netherlands,6574,10012,10883,13925,15007,15828
New Caledonia,86,101,99,107,114,116
New Zealand,NA,2353,2435,2772,3039,3370
Nicaragua,281,712,1011,1330,1386,1504
Niger,35,58,74,135,135,152
Nigeria,656,1010,1555,NA,1255,1889
Niue,2,3,6,7,8,NA
Northern Mariana Islands,676,507,379,460,479,531
Norway,2880,3824,4767,4855,5361,5960
Oman,NA,891,1441,1611,1909,2292
Other non-specified areas,2332,3378,5567,9910,10440,10690
Pakistan,378,798,907,NA,NA,NA
Palau,53,81,85,140,162,138
Panama,345,702,1324,1745,2110,2007
Papua New Guinea,42,69,140,182,184,NA
Paraguay,438,341,465,649,1215,1308
Peru,479,1571,2299,3215,3456,3744
Philippines,1760,2623,3520,4833,5361,5967
Poland,19215,15200,12470,16000,16728,17471
Portugal,4572,5769,6756,9092,9957,11223
Puerto Rico,3131,3686,3186,3246,3542,3736
Qatar,NA,NA,1700,2839,2941,2938
Republic of Korea,3753,6023,8798,14202,13232,17242
Republic of Moldova,NA,67,64,94,94,121
Romania,5445,5839,7498,8442,9331,10223
Russian Federation,10290,22201,22281,32421,33729,24571
Rwanda,NA,NA,504,926,987,932
Réunion,304,409,420,406,426,458
Saba,10,12,12,NA,NA,NA
Saint Kitts and Nevis,79,141,98,113,122,NA
Saint Lucia,231,318,306,338,345,348
Saint Vincent & Grenadines,60,96,72,71,75,79
Samoa,68,102,122,120,128,134
San Marino,28,50,120,75,54,60
Sao Tome and Principe,6,16,8,NA,26,29
Saudi Arabia,3325,8037,10850,18260,17994,18049
Senegal,NA,769,900,963,1007,NA
Serbia,NA,453,683,1029,1132,1281
Seychelles,121,129,175,233,276,303
Sierra Leone,14,40,39,44,24,55
Singapore,6070,7079,9161,11864,12051,12914
Sint Eustatius,9,10,11,NA,NA,NA
Sint Maarten (Dutch part),460,468,443,500,505,528
Slovakia,903,1515,1327,1475,1721,2027
Slovenia,732,1555,1869,2411,2707,3032
Solomon Islands,12,9,21,20,22,23
South Africa,4488,7369,8074,9549,8904,10044
Spain,32971,55914,52677,64939,68175,75315
Sri Lanka,403,549,654,1527,1798,2051
State of Palestine,NA,88,522,556,432,400
Sudan,29,246,495,684,741,NA
Suriname,43,161,205,252,228,256
Sweden,NA,NA,NA,19945,NA,NA
Switzerland,6946,7229,8628,9158,9305,9205
Syrian Arab Republic,815,3571,8546,NA,NA,NA
Tajikistan,NA,NA,160,213,414,NA
TFYR of Macedonia,147,197,262,425,486,510
Thailand,6952,11567,15936,24810,29923,32530
Timor-Leste,NA,NA,40,60,62,66
Togo,53,81,202,282,273,338
Tonga,29,42,47,50,54,59
Trinidad and Tobago,260,463,388,412,440,410
Tunisia,4120,6378,7828,7163,5359,5724
Turkey,7083,20273,31364,39811,39478,30289
Turkmenistan,218,12,NA,NA,NA,NA
Turks and Caicos Islands,79,176,281,357,386,454
Tuvalu,1,1,2,1,2,3
Uganda,160,468,946,1266,1303,1323
Ukraine,3716,17631,21203,12712,12428,13333
United Arab Emirates,2315,7126,NA,NA,NA,NA
United Kingdom,21719,28039,28295,32613,34436,35814
United Rep. of Tanzania,285,590,754,1113,1104,1233
United States of America,43318,49206,60010,75022,77465,75608
United States Virgin Islands,454,594,572,615,642,NA
Uruguay,2022,1808,2353,2682,2773,3037
Uzbekistan,92,242,975,NA,NA,NA
Vanuatu,44,62,97,109,90,95
Venezuela (Boliv. Rep. of),700,706,526,857,789,601
Viet Nam,1351,3477,5050,7874,7944,10013
Yemen,61,336,1025,1018,367,NA
Zambia,163,669,815,947,932,956
Zimbabwe,1416,1559,2239,1880,2057,2168
